BasicTest.foo: in11: i4:[-inf, inf]

BasicTest.foo: in09: $r0:[-inf, inf]
BasicTest.foo: in09: i0:[-inf, inf]
BasicTest.foo: in09: i1:[-inf, 10]
BasicTest.foo: in09: i2:[10, inf]
BasicTest.foo: in09: i3:[1, 98]
BasicTest.foo: in09: i4:[-inf, inf]

BasicTest.foo: in10: $r0:[-inf, inf]
BasicTest.foo: in10: i0:[-inf, inf]
BasicTest.foo: in10: i1:[-inf, 10]
BasicTest.foo: in10: i2:[10, inf]
BasicTest.foo: in10: i3:[2, 99]
BasicTest.foo: in10: i4:[-inf, inf]

BasicTest.foo: in07: $r0:[-inf, inf]
BasicTest.foo: in07: i0:[-inf, inf]
BasicTest.foo: in07: i1:[-inf, 10]
BasicTest.foo: in07: i2:[9, inf]
BasicTest.foo: in07: i3:[1, 99]
BasicTest.foo: in07: i4:[-inf, inf]

BasicTest.foo: in08: $r0:[-inf, inf]
BasicTest.foo: in08: i0:[-inf, inf]
BasicTest.foo: in08: i1:[-inf, 10]
BasicTest.foo: in08: i2:[9, 17]
BasicTest.foo: in08: i3:[1, 99]
BasicTest.foo: in08: i4:[-inf, inf]
BasicTest.foo: in11: $r0:[-inf, inf]
BasicTest.foo: in11: i0:[-inf, inf]
BasicTest.foo: in11: i1:[-inf, 10]
BasicTest.foo: in11: i2:[18, inf]
BasicTest.foo: in11: i3:[1, 99]
BasicTest.foo: in11: i4:[-inf, inf]

BasicTest.foo: in09: $r0:[-inf, inf]
BasicTest.foo: in09: i0:[-inf, inf]
BasicTest.foo: in09: i1:[-inf, 10]
BasicTest.foo: in09: i2:[10, inf]
BasicTest.foo: in09: i3:[1, 99]
BasicTest.foo: in09: i4:[-inf, inf]

BasicTest.foo: in10: $r0:[-inf, inf]
BasicTest.foo: in10: i0:[-inf, inf]
BasicTest.foo: in10: i1:[-inf, 10]
BasicTest.foo: in10: i2:[10, inf]
BasicTest.foo: in10: i3:[2, 100]
BasicTest.foo: in10: i4:[-inf, inf]

BasicTest.foo: in07: $r0:[-inf, inf]
BasicTest.foo: in07: i0:[-inf, inf]
BasicTest.foo: in07: i1:[-inf, 10]
BasicTest.foo: in07: i2:[9, inf]
BasicTest.foo: in07: i3:[1, 100]
BasicTest.foo: in07: i4:[-inf, inf]

BasicTest.foo: in08: $r0:[-inf, inf]
BasicTest.foo: in08: i0:[-inf, inf]
BasicTest.foo: in08: i1:[-inf, 10]
BasicTest.foo: in08: i2:[9, 17]
BasicTest.foo: in08: i3:[1, 100]
BasicTest.foo: in08: i4:[-inf, inf]
BasicTest.foo: in11: $r0:[-inf, inf]
BasicTest.foo: in11: i0:[-inf, inf]
BasicTest.foo: in11: i1:[-inf, 10]
BasicTest.foo: in11: i2:[18, inf]
BasicTest.foo: in11: i3:[1, 100]
BasicTest.foo: in11: i4:[-inf, inf]

BasicTest.foo: in09: $r0:[-inf, inf]
BasicTest.foo: in09: i0:[-inf, inf]
BasicTest.foo: in09: i1:[-inf, 10]
BasicTest.foo: in09: i2:[10, inf]
BasicTest.foo: in09: i3:[1, 100]
BasicTest.foo: in09: i4:[-inf, inf]

BasicTest.foo: in10: $r0:[-inf, inf]
BasicTest.foo: in10: i0:[-inf, inf]
BasicTest.foo: in10: i1:[-inf, 10]
BasicTest.foo: in10: i2:[10, inf]
BasicTest.foo: in10: i3:[2, inf]
BasicTest.foo: in10: i4:[-inf, inf]

BasicTest.foo: in07: $r0:[-inf, inf]
BasicTest.foo: in07: i0:[-inf, inf]
BasicTest.foo: in07: i1:[-inf, 10]
BasicTest.foo: in07: i2:[9, inf]
BasicTest.foo: in07: i3:[1, inf]
BasicTest.foo: in07: i4:[-inf, inf]

BasicTest.foo: in08: $r0:[-inf, inf]
BasicTest.foo: in08: i0:[-inf, inf]
BasicTest.foo: in08: i1:[-inf, 10]
BasicTest.foo: in08: i2:[9, 17]
BasicTest.foo: in08: i3:[1, inf]
BasicTest.foo: in08: i4:[-inf, inf]
BasicTest.foo: in11: $r0:[-inf, inf]
BasicTest.foo: in11: i0:[-inf, inf]
BasicTest.foo: in11: i1:[-inf, 10]
BasicTest.foo: in11: i2:[18, inf]
BasicTest.foo: in11: i3:[1, inf]
BasicTest.foo: in11: i4:[-inf, inf]

BasicTest.foo: in09: $r0:[-inf, inf]
BasicTest.foo: in09: i0:[-inf, inf]
BasicTest.foo: in09: i1:[-inf, 10]
BasicTest.foo: in09: i2:[10, inf]
BasicTest.foo: in09: i3:[1, inf]
BasicTest.foo: in09: i4:[-inf, inf]


BasicTest.foo: in12: $r0:[-inf, inf]
BasicTest.foo: in12: i0:[-inf, inf]
BasicTest.foo: in12: i1:[-inf, 10]
BasicTest.foo: in12: i2:[18, inf]
BasicTest.foo: in12: i3:[1, inf]
BasicTest.foo: in12: i4:[0, 0]

BasicTest.foo: in13: $r0:[-inf, inf]
BasicTest.foo: in13: i0:[-inf, inf]
BasicTest.foo: in13: i3:[1, inf]
BasicTest.foo: in13: i4:[0, 0]

BasicTest.foo: in14: $r0:[-inf, inf]
BasicTest.foo: in14: i0:[-inf, inf]
BasicTest.foo: in14: i1:[-inf, 10]
BasicTest.foo: in14: i2:[18, inf]
BasicTest.foo: in14: i3:[1, inf]
BasicTest.foo: in14: i4:[0, 0]


BasicTest.foo: in15: i0:[-inf, inf]
BasicTest.foo: in15: i1:[-inf, 10]
BasicTest.foo: in15: i2:[18, inf]
BasicTest.foo: in15: i3:[1, inf]
BasicTest.foo: in15: i4:[0, 0]

BasicTest.foo: in16: i0:[-inf, inf]
BasicTest.foo: in16: i1:[-inf, 10]
BasicTest.foo: in16: i2:[18, inf]
BasicTest.foo: in16: i3:[1, inf]
BasicTest.foo: in16: i4:[0, 0]


